Reform,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035
$1k/$2k ded. max.,-5.97102615404004,-6.073176397725586,-6.1527401075175785,-6.2355117724765625,-6.316739003413086,-6.401053643823243,-6.478734752105469,-6.561041673442383,-6.634838708591797,-6.703802312616212,-63.52866452575196
0.25% of AGI floor,3.3600263452871095,3.4856801483671873,3.6267703998046876,3.7824410109384763,3.949627839787109,4.124804251822266,4.309497583441406,4.49819382452832,4.6913317672910155,4.894591759209962,40.722964930477545
Tot. rev. chg.,-2.61099980875293,-2.5874962493583986,-2.525969707712891,-2.4530707615380862,-2.3671111636259767,-2.2762493920009765,-2.1692371686640626,-2.0628478489140627,-1.9435069413007813,-1.8092105534062501,-22.805699595274415
