Reform,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035
$1k/$2k ded. max.,-5.97102615404004,-6.073176397725586,-6.1527401075175785,-6.2355117724765625,-6.316739003413086,-6.401053643823243,-6.478734752105469,-6.561041673442383,-6.634838708591797,-6.703802312616212,-63.52866452575196
0.5% of AGI floor,6.092883699811524,6.325387203344727,6.582876588546876,6.868422420839844,7.174078761666992,7.49487535482129,7.835437045533203,8.183051462613282,8.541314040745117,8.914781522381837,74.01310810030469
Tot. rev. chg.,0.12185754577148439,0.25221080561914067,0.4301364810292969,0.6329106483632813,0.8573397582539063,1.093821710998047,1.3567022934277344,1.6220097891708984,1.9064753321533203,2.2109792097656253,10.484443574552735
