Reform,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035
$150/$300 ded. max.,-1.2133434444316407,-1.2242076278251954,-1.2333629269462891,-1.2419482810263673,-1.2499757050302736,-1.2590073806230468,-1.265875130125,-1.2714662552812501,-1.2769377851132813,-1.2819226141914064,-12.518047150593752
1.0% of AGI floor,10.902641837507813,11.31674359856543,11.774791989208008,12.278116603959962,12.815995078628907,13.37814843535254,13.974706263587892,14.580483944997072,15.209182173285157,15.867187605900392,132.09799753099318
Tot. rev. chg.,9.689298393076173,10.092535970740235,10.54142906226172,11.036168322933595,11.566019373598634,12.119141054729493,12.708831133462892,13.309017689715821,13.932244388171876,14.585264991708986,119.57995038039942
