Reform,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-2035
$5k/$10k ded. max.,-15.790192769777345,-16.24468459851465,-16.65767707608887,-17.078645072814453,-17.49693591520215,-17.920824375030275,-18.33412102233203,-18.74853077628125,-19.155383426154298,-19.553808671533204,-176.98080370372853
1.0% of AGI floor,9.346808110028322,9.72207570041504,10.136800125102543,10.596123517582031,11.090018091810549,11.60933715251172,12.166724994172851,12.735201211496094,13.32293952978418,13.93895848834961,114.66498692125293
Tot. rev. chg.,-6.443384659749023,-6.52260889809961,-6.520876950986328,-6.482521555232422,-6.406917823391602,-6.311487222518555,-6.16739602815918,-6.013329564785157,-5.832443896370117,-5.614850183183594,-62.315816782475586
